# Auto-generated by generate_port_tracking.py
# Format: Kind | SourcePath | MappedPath | Status | Notes
Source | Source/Common/System/Radar.cpp | Common/src/System/radar.rs | FOUND | subsystem=Common
Source | Source/Common/System/SaveGame/GameState.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/SaveGame/GameStateMap.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/Snapshot.cpp | Common/src/System/snapshot.rs | FOUND | subsystem=Common
Source | Source/Common/System/StackDump.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/StreamingArchiveFile.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/String.cpp | Common/src/System/string.rs | FOUND | subsystem=Common
Source | Source/Common/System/SubsystemInterface.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/Trig.cpp | Common/src/System/trig.rs | FOUND | subsystem=Common
Source | Source/Common/System/UnicodeString.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/Upgrade.cpp | Common/src/System/upgrade.rs | FOUND | subsystem=Common
Source | Source/Common/System/Xfer.cpp | Common/src/System/xfer.rs | FOUND | subsystem=Common
Source | Source/Common/System/XferCRC.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/XferLoad.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/XferSave.cpp | - | MISSING | subsystem=Common
Source | Source/Common/System/encrypt.cpp | Common/src/System/encrypt.rs | FOUND | subsystem=Common
Source | Source/Common/System/registry.cpp | Common/src/System/registry.rs | FOUND | subsystem=Common
Source | Source/Common/TerrainTypes.cpp | - | MISSING | subsystem=Common
Source | Source/Common/Thing/DrawModule.cpp | - | MISSING | subsystem=Common
Source | Source/Common/Thing/Module.cpp | Common/src/thing/module.rs | FOUND | subsystem=Common
Source | Source/Common/Thing/ModuleFactory.cpp | - | MISSING | subsystem=Common
Source | Source/Common/Thing/Thing.cpp | Common/src/thing/thing.rs | FOUND | subsystem=Common
Source | Source/Common/Thing/ThingFactory.cpp | - | MISSING | subsystem=Common
Source | Source/Common/Thing/ThingTemplate.cpp | - | MISSING | subsystem=Common
Source | Source/Common/UserPreferences.cpp | - | MISSING | subsystem=Common
Source | Source/Common/crc.cpp | Common/src/crc.rs | FOUND | subsystem=Common
Source | Source/Common/version.cpp | Common/src/version.rs | FOUND | subsystem=Common
Source | Source/GameClient/Color.cpp | GameClient/src/color.rs | FOUND | subsystem=GameClient
Source | Source/GameClient/Credits.cpp | GameClient/src/credits.rs | FOUND | subsystem=GameClient
Source | Source/GameClient/Display.cpp | GameClient/src/display/display.rs | FOUND | subsystem=GameClient
Source | Source/GameClient/DisplayString.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/DisplayStringManager.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/DrawGroupInfo.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/Drawable/DrawableManager.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/Drawable/Update/AnimatedParticleSysBoneClientUpdate.cpp | - | MISSING | subsystem=GameClient
